"","SHA Code","PCT Code","PCT Name","Treatment Function Code","Treatment Function",">0-1",">1-2",">2-3",">3-4",">4-5",">5-6",">6-7",">7-8",">8-9",">9-10",">10-11",">11-12",">12-13",">13-14",">14-15",">15-16",">16-17",">17-18",">18-19",">19-20",">20-21",">21-22",">22-23",">23-24",">24-25",">25-26",">26-27",">27-28",">28-29",">29-30",">30-31",">31-32",">32-33",">33-34",">34-35",">35-36",">36-37",">37-38",">38-39",">39-40",">40-41",">41-42",">42-43",">43-44",">44-45",">45-46",">46-47",">47-48",">48-49",">49-50",">50-51",">51-52","52 plus","Total number of incomplete pathways","Total within 18 weeks","% within 18 weeks"
"1","Q30","5D7","NEWCASTLE PCT","IP100","General Surgery",44,49,56,29,24,32,32,37,30,37,42,34,16,20,31,24,19,15,12,13,12,7,10,5,3,7,4,3,4,1,1,5,3,1,1,1,2,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,11,682,571,0.837243401759531
"2","Q30","5D7","NEWCASTLE PCT","IP101","Urology",29,23,35,34,21,25,33,35,53,33,43,51,24,27,35,22,22,12,11,8,14,8,3,3,3,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,16,630,557,0.884126984126984
"3","Q30","5D7","NEWCASTLE PCT","IP110","Trauma & Orthopaedics",41,57,39,35,31,29,30,40,43,30,46,34,46,42,40,53,74,46,45,32,28,21,26,23,25,24,16,11,11,15,11,10,11,8,4,6,5,3,2,2,0,5,2,4,2,6,2,1,3,2,3,2,71,1198,756,0.631051752921536
"4","Q30","5D7","NEWCASTLE PCT","IP120","ENT",11,15,39,29,13,34,23,51,28,51,41,47,43,30,30,34,37,21,26,14,20,5,6,5,5,3,5,8,5,0,3,3,1,2,1,1,2,0,1,3,0,0,2,1,0,0,0,1,0,0,0,0,15,715,577,0.806993006993007
"5","Q30","5D7","NEWCASTLE PCT","IP130","Ophthalmology",21,11,12,15,9,12,17,19,36,30,38,23,22,18,9,34,19,11,18,8,12,11,4,3,0,2,3,2,1,3,1,2,0,1,3,0,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,89,526,356,0.67680608365019
"6","Q30","5D7","NEWCASTLE PCT","IP140","Oral Surgery",7,14,18,20,8,7,10,30,27,27,33,25,34,21,25,31,17,21,16,8,11,7,9,10,2,5,3,5,3,1,4,5,5,0,1,2,1,1,0,3,1,2,3,2,0,1,0,1,1,1,0,0,13,502,375,0.747011952191235
"7","Q30","5D7","NEWCASTLE PCT","IP150","Neurosurgery",2,3,3,0,1,3,2,8,9,10,13,8,5,5,5,1,4,4,7,1,7,1,4,2,2,3,1,0,1,2,0,0,0,1,1,0,2,1,1,0,0,1,0,0,1,2,0,1,0,0,0,0,8,136,86,0.632352941176471
"8","Q30","5D7","NEWCASTLE PCT","IP160","Plastic Surgery",12,7,9,9,4,7,15,12,10,17,10,14,20,17,7,15,10,13,10,11,9,9,14,6,10,4,7,6,2,2,3,3,3,0,4,4,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,29,350,208,0.594285714285714
"9","Q30","5D7","NEWCASTLE PCT","IP170","Cardiothoracic Surgery",1,3,1,1,1,0,0,0,3,0,2,2,4,1,0,2,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,33,26,0.787878787878788
"10","Q30","5D7","NEWCASTLE PCT","IP300","General Medicine",34,46,28,56,4,10,19,15,37,7,9,13,13,15,8,8,14,3,6,3,1,3,3,2,1,0,2,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,11,380,339,0.892105263157895
"11","Q30","5D7","NEWCASTLE PCT","IP301","Gastroenterology",8,9,2,4,2,9,5,7,3,9,8,7,2,4,11,8,3,4,7,1,1,2,7,3,0,1,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,133,105,0.789473684210526
"12","Q30","5D7","NEWCASTLE PCT","IP320","Cardiology",11,27,22,17,5,15,11,16,81,9,13,9,10,15,17,9,9,8,15,6,5,1,3,2,5,2,1,2,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,8,362,304,0.839779005524862
"13","Q30","5D7","NEWCASTLE PCT","IP330","Dermatology",9,15,8,11,12,9,15,19,12,3,18,22,13,12,14,10,12,6,1,8,3,5,1,0,3,3,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,259,220,0.849420849420849
"14","Q30","5D7","NEWCASTLE PCT","IP340","Thoracic Medicine",2,4,2,6,4,0,3,7,25,0,6,3,2,3,3,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,77,71,0.922077922077922
"15","Q30","5D7","NEWCASTLE PCT","IP400","Neurology",2,2,2,0,4,5,5,2,3,7,12,11,9,5,7,2,4,2,1,0,3,1,6,1,2,2,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,106,84,0.792452830188679
"16","Q30","5D7","NEWCASTLE PCT","IP410","Rheumatology",3,10,4,10,3,9,12,7,14,3,13,7,7,9,11,5,5,5,4,0,5,4,5,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,161,137,0.850931677018634
"17","Q30","5D7","NEWCASTLE PCT","IP430","Geriatric Medicine",5,9,5,6,1,4,4,5,6,3,3,2,7,0,3,2,3,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,68,0.894736842105263
"18","Q30","5D7","NEWCASTLE PCT","IP502","Gynaecology",44,46,35,81,22,33,42,41,32,38,54,33,38,60,37,27,18,12,21,9,10,5,3,6,4,8,2,5,4,2,1,0,3,4,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,41,825,693,0.84
"19","Q30","5D7","NEWCASTLE PCT","IP999","Total",365,437,395,450,211,308,336,444,555,413,497,442,390,368,354,335,324,235,229,146,166,114,124,78,80,84,58,57,46,41,37,38,32,23,24,20,19,11,11,13,6,14,11,12,7,13,4,7,8,4,5,3,384,8788,6859,0.780496131087847
"20","Q30","5D7","NEWCASTLE PCT","IPX01","Other",79,87,75,87,42,65,58,93,103,99,93,97,75,64,61,48,50,50,28,22,18,23,18,7,14,17,11,10,10,11,9,6,6,3,4,4,2,1,6,3,2,4,0,2,2,1,2,0,1,1,1,1,61,1637,1326,0.810018326206475
"21","Q30","5D8","NORTH TYNESIDE PCT","IP100","General Surgery",175,128,86,118,48,44,52,47,52,38,45,41,37,25,29,34,22,18,10,7,6,8,3,1,3,5,3,7,2,1,0,5,2,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,10,1119,1039,0.928507596067918
"22","Q30","5D8","NORTH TYNESIDE PCT","IP101","Urology",29,42,27,43,15,22,35,35,41,36,38,18,10,22,9,22,7,12,4,7,5,1,4,3,2,2,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,509,463,0.909626719056974
"23","Q30","5D8","NORTH TYNESIDE PCT","IP110","Trauma & Orthopaedics",126,127,118,74,43,67,103,74,70,68,63,63,59,50,46,33,34,27,32,24,24,17,17,13,7,8,8,4,3,5,6,4,2,3,1,2,2,0,1,2,1,3,1,1,1,2,1,0,0,0,0,0,25,1465,1245,0.849829351535836
"24","Q30","5D8","NORTH TYNESIDE PCT","IP120","ENT",11,16,21,27,10,17,27,28,32,51,27,28,32,36,22,35,33,14,23,13,11,9,3,8,2,3,2,4,5,2,2,2,0,3,7,1,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,16,591,467,0.790186125211506
"25","Q30","5D8","NORTH TYNESIDE PCT","IP130","Ophthalmology",18,10,8,14,9,10,18,16,21,28,36,21,9,11,9,13,14,14,6,13,11,4,3,4,3,4,5,1,2,1,1,0,2,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,71,417,279,0.669064748201439
"26","Q30","5D8","NORTH TYNESIDE PCT","IP140","Oral Surgery",9,3,7,5,2,13,23,28,29,18,25,21,37,20,25,20,22,20,17,12,8,4,5,5,6,3,2,1,5,3,5,3,3,2,2,3,1,1,1,0,1,1,0,0,0,1,2,0,0,0,0,0,6,430,327,0.76046511627907
"27","Q30","5D8","NORTH TYNESIDE PCT","IP150","Neurosurgery",1,3,6,1,1,2,1,3,3,4,6,13,7,8,0,4,5,3,3,2,4,5,0,4,5,0,2,0,3,0,0,2,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,115,71,0.617391304347826
"28","Q30","5D8","NORTH TYNESIDE PCT","IP160","Plastic Surgery",6,2,10,7,0,3,6,7,10,2,10,11,13,4,11,8,4,4,5,6,5,5,1,4,0,2,1,2,4,2,3,1,1,1,2,0,0,0,1,0,1,2,1,0,0,0,1,0,0,0,1,0,12,182,118,0.648351648351648
"29","Q30","5D8","NORTH TYNESIDE PCT","IP170","Cardiothoracic Surgery",2,1,0,2,0,0,0,2,2,0,1,1,0,0,1,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,25,16,0.64
"30","Q30","5D8","NORTH TYNESIDE PCT","IP300","General Medicine",164,98,126,109,43,64,58,49,39,49,38,32,17,26,22,35,9,11,7,7,3,4,2,0,2,1,1,0,0,0,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1024,989,0.9658203125
"31","Q30","5D8","NORTH TYNESIDE PCT","IP301","Gastroenterology",4,8,4,3,0,2,0,3,2,1,1,2,1,1,2,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,0.875
"32","Q30","5D8","NORTH TYNESIDE PCT","IP320","Cardiology",4,6,5,7,0,5,4,13,3,8,3,1,3,3,12,3,3,4,1,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,99,87,0.878787878787879
"33","Q30","5D8","NORTH TYNESIDE PCT","IP330","Dermatology",18,13,10,7,3,8,10,15,15,11,12,24,9,9,12,7,5,10,14,6,3,1,1,4,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,244,198,0.811475409836066
"34","Q30","5D8","NORTH TYNESIDE PCT","IP340","Thoracic Medicine",6,0,1,1,1,0,1,3,1,2,6,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,0.931034482758621
"35","Q30","5D8","NORTH TYNESIDE PCT","IP400","Neurology",4,0,1,1,1,1,0,2,2,1,4,2,7,1,0,3,1,1,4,1,2,2,2,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53,32,0.60377358490566
"36","Q30","5D8","NORTH TYNESIDE PCT","IP410","Rheumatology",17,17,16,7,6,12,13,5,11,11,9,8,4,8,6,4,2,3,8,7,5,3,1,0,2,1,0,0,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,159,0.828125
