"","SHA Code","PCT Code","PCT Name","Treatment Function Code","Treatment Function",">0-1",">1-2",">2-3",">3-4",">4-5",">5-6",">6-7",">7-8",">8-9",">9-10",">10-11",">11-12",">12-13",">13-14",">14-15",">15-16",">16-17",">17-18",">18-19",">19-20",">20-21",">21-22",">22-23",">23-24",">24-25",">25-26",">26-27",">27-28",">28-29",">29-30",">30-31",">31-32",">32-33",">33-34",">34-35",">35-36",">36-37",">37-38",">38-39",">39-40",">40-41",">41-42",">42-43",">43-44",">44-45",">45-46",">46-47",">47-48",">48-49",">49-50",">50-51",">51-52","52 plus","Total number of incomplete pathways","Total within 18 weeks","% within 18 weeks"
"1","Q30","5D7","NEWCASTLE PCT","IP100","General Surgery",80,86,65,40,65,58,46,38,45,48,39,41,22,27,31,34,12,15,15,16,20,23,23,18,12,21,26,18,10,13,5,9,6,8,3,8,2,1,7,1,2,2,1,0,3,2,1,0,1,0,0,1,48,1118,792,0.708407871198569
"2","Q30","5D7","NEWCASTLE PCT","IP101","Urology",77,78,77,32,52,53,49,41,50,29,24,24,32,30,16,21,25,15,24,26,23,23,10,13,28,17,14,12,6,6,15,5,3,6,1,2,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,16,981,725,0.739041794087666
"3","Q30","5D7","NEWCASTLE PCT","IP110","Trauma & Orthopaedics",257,134,147,96,109,193,133,88,137,104,86,54,87,60,39,59,53,27,42,42,34,28,24,51,25,50,38,61,35,35,23,23,22,23,21,21,19,15,9,9,6,7,2,4,5,4,2,5,7,3,0,2,108,2668,1863,0.698275862068966
"4","Q30","5D7","NEWCASTLE PCT","IP120","ENT",132,139,164,115,101,142,69,87,61,71,41,37,26,36,29,26,13,13,19,9,14,23,20,22,32,59,31,11,14,13,10,16,12,7,5,8,1,1,3,3,2,2,1,0,1,0,1,0,0,0,2,0,31,1675,1302,0.777313432835821
"5","Q30","5D7","NEWCASTLE PCT","IP130","Ophthalmology",218,151,135,70,127,107,109,72,90,80,69,60,46,42,20,23,25,8,13,18,25,19,12,10,10,13,19,11,9,16,14,7,9,6,4,6,6,1,2,2,1,7,1,0,1,1,0,0,1,0,2,0,108,1806,1452,0.803986710963455
"6","Q30","5D7","NEWCASTLE PCT","IP140","Oral Surgery",39,48,49,33,40,51,45,49,57,44,53,64,34,36,47,28,18,4,24,20,20,17,30,21,16,20,9,22,14,16,10,15,7,11,2,11,8,3,5,5,4,1,3,1,7,2,0,3,4,0,0,4,27,1101,739,0.671207992733878
"7","Q30","5D7","NEWCASTLE PCT","IP150","Neurosurgery",25,19,30,14,18,15,22,19,13,13,9,5,14,5,7,5,8,4,6,7,7,12,13,13,5,8,6,5,4,3,3,7,3,3,6,7,6,0,3,0,3,4,1,0,0,0,2,2,1,2,0,0,21,408,245,0.600490196078431
"8","Q30","5D7","NEWCASTLE PCT","IP160","Plastic Surgery",62,55,26,22,52,58,33,23,40,26,23,25,20,18,11,14,15,7,5,11,4,11,10,6,7,19,8,5,15,8,5,7,6,3,20,4,8,4,2,3,0,3,3,1,0,0,4,0,1,1,0,0,27,741,530,0.715249662618084
"9","Q30","5D7","NEWCASTLE PCT","IP170","Cardiothoracic Surgery",2,3,2,0,3,6,1,1,0,0,0,1,3,1,0,6,1,0,1,0,0,4,1,0,2,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,52,30,0.576923076923077
"10","Q30","5D7","NEWCASTLE PCT","IP300","General Medicine",78,70,74,27,33,38,22,34,16,20,15,19,14,12,8,13,6,3,4,17,9,7,10,4,4,19,8,10,3,6,2,5,2,1,3,2,1,0,3,0,1,1,1,1,1,1,0,0,0,1,0,0,6,635,502,0.790551181102362
