"","SHA Code","PCT Code","PCT Name","Treatment Function Code","Treatment Function",">0-1",">1-2",">2-3",">3-4",">4-5",">5-6",">6-7",">7-8",">8-9",">9-10",">10-11",">11-12",">12-13",">13-14",">14-15",">15-16",">16-17",">17-18",">18-19",">19-20",">20-21",">21-22",">22-23",">23-24",">24-25",">25-26",">26-27",">27-28",">28-29",">29-30",">30-31",">31-32",">32-33",">33-34",">34-35",">35-36",">36-37",">37-38",">38-39",">39-40",">40-41",">41-42",">42-43",">43-44",">44-45",">45-46",">46-47",">47-48",">48-49",">49-50",">50-51",">51-52","52 plus","Total number of incomplete pathways"
"1","Q30","5D7","NEWCASTLE PCT","IP100","General Surgery",92,75,74,72,59,49,44,39,34,49,40,27,27,28,34,27,25,24,11,23,14,10,13,13,16,13,16,12,7,24,23,18,7,11,5,6,6,3,2,1,1,3,6,1,4,1,1,2,2,0,1,0,22,1117
"2","Q30","5D7","NEWCASTLE PCT","IP101","Urology",73,79,86,47,74,50,48,41,27,28,43,26,25,26,17,20,22,26,18,14,10,7,13,17,18,13,12,7,18,17,14,10,11,5,9,8,4,2,2,2,0,0,0,0,1,0,1,2,0,0,0,1,7,1001
"3","Q30","5D7","NEWCASTLE PCT","IP110","Trauma & Orthopaedics",148,156,164,105,191,88,103,79,66,129,87,61,97,65,43,69,57,32,44,77,34,25,29,39,32,20,26,32,22,45,60,41,26,45,22,19,15,16,13,21,18,8,4,12,6,9,5,7,4,5,8,6,60,2595
"4","Q30","5D7","NEWCASTLE PCT","IP120","ENT",103,141,139,61,98,100,87,74,45,71,63,49,40,48,34,43,24,20,26,13,13,8,9,10,10,17,18,21,24,49,32,10,11,13,10,16,6,4,4,5,2,2,0,2,3,2,0,0,2,0,0,1,15,1598
"5","Q30","5D7","NEWCASTLE PCT","IP130","Ophthalmology",148,156,190,120,138,99,87,52,66,51,91,46,50,43,50,25,32,23,17,17,23,3,7,16,13,22,13,11,8,13,16,10,9,6,8,11,7,5,3,5,3,3,3,0,7,5,1,0,2,0,0,1,17,1752
"6","Q30","5D7","NEWCASTLE PCT","IP140","Oral Surgery",33,47,58,45,39,43,46,33,28,38,44,44,23,42,32,34,29,22,26,20,13,2,7,14,15,4,18,16,15,16,4,16,11,10,12,13,8,9,0,7,8,1,5,1,4,1,0,1,3,3,0,2,14,979
"7","Q30","5D7","NEWCASTLE PCT","IP150","Neurosurgery",16,24,20,17,27,13,26,14,7,10,15,9,7,8,11,4,10,7,4,4,7,2,3,9,8,8,6,8,9,4,6,5,5,2,2,10,0,5,5,5,5,1,2,3,4,3,0,1,0,1,0,2,27,411
"8","Q30","5D7","NEWCASTLE PCT","IP160","Plastic Surgery",30,44,37,28,49,41,25,19,17,31,24,24,18,21,24,27,12,10,9,9,9,5,8,6,6,7,11,7,4,13,6,9,9,12,3,6,6,3,8,11,5,4,2,3,1,4,1,0,1,3,2,0,20,694
"9","Q30","5D7","NEWCASTLE PCT","IP170","Cardiothoracic Surgery",3,3,0,1,2,3,2,0,1,3,0,0,1,1,0,0,3,0,0,1,0,0,1,0,0,1,1,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,37
"10","Q30","5D7","NEWCASTLE PCT","IP300","General Medicine",54,49,54,50,47,29,25,20,19,21,12,20,16,8,13,11,14,9,13,8,5,2,4,6,9,5,4,1,6,18,14,7,3,6,4,4,4,0,2,2,2,1,2,1,0,3,1,2,0,1,1,0,5,617
"11","Q30","5D7","NEWCASTLE PCT","IP301","Gastroenterology",31,28,23,24,41,26,10,20,7,5,16,5,7,7,8,9,7,9,2,2,2,1,5,4,3,9,5,3,8,3,2,6,2,2,2,4,1,2,1,4,2,0,1,0,0,0,0,1,0,0,1,0,2,363
"12","Q30","5D7","NEWCASTLE PCT","IP320","Cardiology",49,41,37,29,29,31,33,17,22,10,24,14,19,13,18,7,17,15,15,13,10,2,10,12,9,12,5,6,6,15,17,20,9,2,7,8,7,1,1,2,1,3,1,0,1,0,0,0,1,0,0,1,12,634
"13","Q30","5D7","NEWCASTLE PCT","IP330","Dermatology",66,94,58,63,64,84,59,22,10,25,24,19,13,9,9,13,12,7,7,7,5,4,6,8,11,10,9,8,26,52,18,11,13,7,2,0,2,2,4,1,0,2,1,2,0,0,0,1,0,0,1,0,5,876
"14","Q30","5D7","NEWCASTLE PCT","IP340","Thoracic Medicine",24,41,45,12,19,13,11,5,6,3,8,6,5,3,4,0,1,1,7,1,0,4,1,1,2,1,1,2,3,8,6,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,251
"15","Q30","5D7","NEWCASTLE PCT","IP400","Neurology",29,46,24,25,23,36,31,46,12,11,18,12,12,9,8,7,4,6,8,5,5,2,4,3,4,7,4,7,3,22,11,9,5,1,0,3,1,7,7,3,3,2,2,1,0,5,3,2,0,1,0,2,8,509
"16","Q30","5D7","NEWCASTLE PCT","IP410","Rheumatology",52,41,58,26,66,40,23,15,28,22,15,10,22,15,8,10,9,7,16,8,11,5,9,9,7,8,2,6,7,13,8,5,1,1,1,2,1,0,1,0,0,0,1,0,0,3,0,1,0,1,0,0,7,601
"17","Q30","5D7","NEWCASTLE PCT","IP430","Geriatric Medicine",30,23,32,14,16,13,12,4,4,13,10,3,3,6,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
"18","Q30","5D7","NEWCASTLE PCT","IP502","Gynaecology",111,88,119,65,71,66,51,52,31,42,42,37,30,27,15,19,12,27,17,11,12,4,12,10,12,9,7,8,16,19,21,6,8,5,5,3,2,5,2,0,2,5,2,1,1,1,1,2,1,1,3,1,6,1126
"19","Q30","5D7","NEWCASTLE PCT","IP999","Total",1331,1484,1438,1004,1262,1059,926,681,540,698,705,542,526,490,413,401,359,301,278,287,211,97,172,225,224,215,224,208,243,410,305,233,164,158,108,125,87,83,63,77,61,45,40,31,43,41,17,28,21,19,24,19,313,19059
"20","Q30","5D7","NEWCASTLE PCT","IPX01","Other",239,308,220,200,209,235,203,129,110,136,129,130,111,111,84,76,69,56,38,54,37,11,31,48,49,48,65,53,60,75,46,49,30,29,16,11,17,18,8,8,9,10,8,4,11,4,3,5,4,3,6,2,85,3710
"21","Q30","5D8","NORTH TYNESIDE PCT","IP100","General Surgery",179,157,129,104,120,99,83,52,39,29,30,23,19,15,16,21,17,12,7,14,8,7,6,10,7,10,6,3,6,3,10,1,8,6,3,2,3,0,0,1,0,3,0,1,0,0,1,0,1,0,0,0,6,1277
"22","Q30","5D8","NORTH TYNESIDE PCT","IP101","Urology",54,68,55,39,59,41,35,31,33,33,23,22,11,13,10,7,22,12,6,5,11,7,5,11,10,5,10,4,4,8,5,2,5,1,1,5,0,3,0,0,1,1,1,1,1,0,1,0,0,0,0,0,2,684
"23","Q30","5D8","NORTH TYNESIDE PCT","IP110","Trauma & Orthopaedics",175,202,196,161,177,121,144,67,79,108,83,69,56,56,37,46,29,34,25,28,14,8,13,13,16,10,15,17,8,25,14,15,9,17,8,14,10,10,2,7,11,6,4,2,1,3,0,2,1,0,2,0,34,2204
"24","Q30","5D8","NORTH TYNESIDE PCT","IP120","ENT",108,108,107,70,83,88,73,62,44,62,52,42,42,38,22,31,20,18,15,11,10,7,8,12,9,8,14,10,22,40,31,11,13,8,7,9,7,9,7,0,3,1,3,0,1,2,0,2,3,1,0,1,11,1366
"25","Q30","5D8","NORTH TYNESIDE PCT","IP130","Ophthalmology",132,126,147,121,112,82,69,44,57,47,53,32,48,37,24,21,22,30,21,10,19,7,8,11,7,23,8,9,7,10,5,11,9,10,9,10,5,8,4,2,1,2,1,0,1,0,0,2,1,0,1,1,7,1434
"26","Q30","5D8","NORTH TYNESIDE PCT","IP140","Oral Surgery",30,24,38,18,22,28,28,27,33,24,23,28,31,27,20,25,20,17,22,11,8,0,13,14,7,14,8,17,11,12,3,11,12,7,4,14,2,2,2,5,3,3,0,1,1,1,2,4,1,1,1,2,10,692
"27","Q30","5D8","NORTH TYNESIDE PCT","IP150","Neurosurgery",21,15,14,14,12,16,8,6,6,9,15,4,7,5,4,5,13,5,4,5,5,2,7,4,5,2,2,8,8,7,3,2,9,7,0,9,4,5,2,4,5,0,1,3,0,1,3,3,1,1,0,0,14,315
"28","Q30","5D8","NORTH TYNESIDE PCT","IP160","Plastic Surgery",18,15,16,11,20,10,21,12,9,15,18,19,11,13,9,4,9,6,3,6,4,1,3,2,4,6,4,5,6,11,4,5,2,4,2,3,6,1,3,2,1,0,1,0,0,1,1,3,0,1,0,0,8,339
"29","Q30","5D8","NORTH TYNESIDE PCT","IP170","Cardiothoracic Surgery",2,0,1,0,1,0,0,0,1,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,20
"30","Q30","5D8","NORTH TYNESIDE PCT","IP300","General Medicine",155,159,137,101,126,90,78,45,42,30,28,27,27,17,14,7,12,15,6,7,5,2,4,2,2,3,4,2,1,1,5,1,3,2,0,1,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1172
"31","Q30","5D8","NORTH TYNESIDE PCT","IP301","Gastroenterology",10,14,15,6,10,4,8,5,3,3,0,1,2,2,0,3,1,1,1,0,0,0,2,0,1,1,0,0,1,2,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,103
"32","Q30","5D8","NORTH TYNESIDE PCT","IP320","Cardiology",16,16,11,15,8,16,13,2,13,8,5,2,5,8,3,8,4,12,4,6,3,3,1,3,3,7,4,0,1,4,2,4,3,0,4,2,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,4,228
"33","Q30","5D8","NORTH TYNESIDE PCT","IP330","Dermatology",50,94,64,54,49,60,41,26,20,13,21,13,6,13,14,11,6,2,10,11,3,5,2,9,9,3,9,7,17,43,22,9,5,4,6,8,3,3,0,1,3,0,0,0,2,0,0,0,0,0,1,0,5,757
"34","Q30","5D8","NORTH TYNESIDE PCT","IP340","Thoracic Medicine",12,8,8,8,5,4,4,4,0,0,2,2,2,1,1,3,1,1,2,0,0,0,1,0,1,0,1,1,3,1,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,82
"35","Q30","5D8","NORTH TYNESIDE PCT","IP400","Neurology",17,43,18,17,20,24,28,26,9,11,10,8,7,5,5,4,2,3,1,6,2,1,1,4,5,1,1,4,3,13,6,4,3,3,2,0,1,2,3,4,0,2,1,1,0,2,0,1,2,1,0,0,8,345
"36","Q30","5D8","NORTH TYNESIDE PCT","IP410","Rheumatology",27,35,38,29,30,18,19,8,11,15,16,8,6,8,3,7,1,6,9,5,0,0,3,4,1,4,5,2,1,2,1,0,3,0,0,1,3,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,336
"37","Q30","5D8","NORTH TYNESIDE PCT","IP430","Geriatric Medicine",26,47,33,20,18,15,21,12,5,8,6,7,3,9,2,2,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
"38","Q30","5D8","NORTH TYNESIDE PCT","IP502","Gynaecology",116,124,82,64,81,69,68,49,53,42,40,18,12,12,14,3,6,9,6,4,2,3,3,1,2,2,3,6,2,8,4,2,4,3,1,1,2,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,928
"39","Q30","5D8","NORTH TYNESIDE PCT","IP999","Total",1344,1484,1278,994,1119,907,850,558,526,534,498,376,343,339,243,249,234,207,168,157,119,67,95,130,115,129,122,119,130,231,145,98,109,90,60,95,61,63,33,33,34,29,18,15,13,14,13,21,13,8,9,5,168,14812
"40","Q30","5D8","NORTH TYNESIDE PCT","IPX01","Other",196,229,169,142,166,122,109,80,69,75,72,49,48,60,45,41,48,24,24,27,23,13,15,29,25,29,28,24,28,40,25,19,19,17,13,15,14,14,4,5,3,7,5,6,4,2,2,4,2,3,2,1,53,2288
"41","Q30","5D9","HARTLEPOOL PCT","IP100","General Surgery",104,58,58,41,52,34,38,13,18,29,24,14,10,10,12,10,7,9,2,4,2,0,3,1,1,0,3,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,566
"42","Q30","5D9","HARTLEPOOL PCT","IP101","Urology",35,27,19,21,20,16,13,16,8,8,7,5,7,7,7,4,6,4,1,3,1,2,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,245
"43","Q30","5D9","HARTLEPOOL PCT","IP110","Trauma & Orthopaedics",99,79,138,92,131,80,59,69,33,41,33,41,17,16,10,16,13,7,6,4,6,4,1,3,1,0,1,1,3,1,2,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1014
"44","Q30","5D9","HARTLEPOOL PCT","IP120","ENT",43,28,41,34,56,36,21,13,10,18,16,10,5,10,3,2,2,8,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361
"45","Q30","5D9","HARTLEPOOL PCT","IP130","Ophthalmology",45,42,67,48,56,51,32,20,19,19,17,12,7,10,4,5,6,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467
"46","Q30","5D9","HARTLEPOOL PCT","IP140","Oral Surgery",6,12,18,10,9,12,7,4,5,2,6,5,5,3,4,3,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
"47","Q30","5D9","HARTLEPOOL PCT","IP150","Neurosurgery",2,2,0,2,4,3,1,1,2,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
"48","Q30","5D9","HARTLEPOOL PCT","IP160","Plastic Surgery",21,21,17,14,12,10,7,7,8,14,12,7,13,7,6,6,3,9,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
"49","Q30","5D9","HARTLEPOOL PCT","IP170","Cardiothoracic Surgery",0,1,3,1,0,0,0,0,2,3,0,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"50","Q30","5D9","HARTLEPOOL PCT","IP300","General Medicine",60,36,25,34,39,30,25,17,11,8,3,6,5,6,9,6,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335
"51","Q30","5D9","HARTLEPOOL PCT","IP301","Gastroenterology",28,15,13,16,20,17,7,10,4,10,8,6,4,5,5,5,2,4,0,1,0,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,4,195
"52","Q30","5D9","HARTLEPOOL PCT","IP320","Cardiology",13,15,36,22,18,3,5,2,2,3,4,2,0,2,3,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
"53","Q30","5D9","HARTLEPOOL PCT","IP330","Dermatology",17,17,20,11,17,32,22,9,4,5,6,3,2,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172
"54","Q30","5D9","HARTLEPOOL PCT","IP340","Thoracic Medicine",0,1,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"55","Q30","5D9","HARTLEPOOL PCT","IP400","Neurology",7,5,11,8,9,7,6,3,10,9,5,2,1,1,2,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95
"56","Q30","5D9","HARTLEPOOL PCT","IP410","Rheumatology",15,10,9,4,8,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"57","Q30","5D9","HARTLEPOOL PCT","IP430","Geriatric Medicine",23,5,8,9,4,3,9,0,3,1,1,1,2,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
"58","Q30","5D9","HARTLEPOOL PCT","IP502","Gynaecology",53,44,29,24,16,22,19,11,7,10,3,4,6,4,8,3,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272
"59","Q30","5D9","HARTLEPOOL PCT","IP999","Total",625,474,561,420,523,403,305,230,163,202,176,135,95,96,86,86,63,53,21,22,12,14,7,10,10,2,10,4,5,5,6,2,3,3,5,2,3,5,1,2,1,0,1,2,1,0,1,0,1,1,0,0,11,4869
"60","Q30","5D9","HARTLEPOOL PCT","IPX01","Other",54,56,47,29,51,45,27,35,17,19,31,15,10,7,11,13,8,4,1,1,3,1,1,2,2,0,5,1,1,2,2,0,1,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,511
"61","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP100","General Surgery",150,153,117,116,116,65,49,37,47,42,42,43,33,42,30,21,28,8,7,7,5,5,1,4,2,1,1,3,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1182
"62","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP101","Urology",69,45,51,35,42,25,25,17,19,16,18,15,12,17,17,10,5,13,4,1,1,4,3,1,2,5,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,483
"63","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP110","Trauma & Orthopaedics",183,220,197,149,179,155,98,85,54,67,65,54,34,39,29,41,24,21,14,11,8,3,5,2,5,0,5,2,3,2,3,2,3,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1773
