"","SHA Code","PCT Code","PCT Name","Treatment Function Code","Treatment Function",">0-1",">1-2",">2-3",">3-4",">4-5",">5-6",">6-7",">7-8",">8-9",">9-10",">10-11",">11-12",">12-13",">13-14",">14-15",">15-16",">16-17",">17-18",">18-19",">19-20",">20-21",">21-22",">22-23",">23-24",">24-25",">25-26",">26-27",">27-28",">28-29",">29-30",">30-31",">31-32",">32-33",">33-34",">34-35",">35-36",">36-37",">37-38",">38-39",">39-40",">40-41",">41-42",">42-43",">43-44",">44-45",">45-46",">46-47",">47-48",">48-49",">49-50",">50-51",">51-52","52 plus","Patients with unknown clock start date","Total number of completed pathways (all)","Total number of completed pathways (with a known clock start)","Total (with a known clock start) within 18 weeks","% within 18 weeks"
"1","Q30","5D7","NEWCASTLE PCT","NP100","General Surgery",7,10,15,8,16,12,11,9,9,13,8,7,2,1,3,4,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,141,136,0.964539007092199
"2","Q30","5D7","NEWCASTLE PCT","NP101","Urology",9,5,6,4,7,7,24,6,2,5,3,4,2,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,89,0.988888888888889
"3","Q30","5D7","NEWCASTLE PCT","NP110","Trauma & Orthopaedics",20,10,4,10,25,16,13,6,16,14,7,8,20,6,7,7,1,9,4,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,207,199,0.961352657004831
"4","Q30","5D7","NEWCASTLE PCT","NP120","ENT",23,29,14,22,40,43,40,25,31,27,22,17,12,8,13,8,10,7,3,3,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,409,391,0.9559902200489
"5","Q30","5D7","NEWCASTLE PCT","NP130","Ophthalmology",72,11,4,12,39,23,20,23,16,25,41,19,6,4,2,1,0,3,1,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,329,329,321,0.975683890577508
"6","Q30","5D7","NEWCASTLE PCT","NP140","Oral Surgery",29,6,6,8,3,5,8,3,5,12,21,16,11,4,7,7,0,6,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,161,157,0.975155279503106
"7","Q30","5D7","NEWCASTLE PCT","NP150","Neurosurgery",3,0,0,0,1,0,0,2,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,13,0.928571428571429
"8","Q30","5D7","NEWCASTLE PCT","NP160","Plastic Surgery",7,2,0,7,3,5,10,6,3,1,3,2,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,53,0.963636363636364
"9","Q30","5D7","NEWCASTLE PCT","NP170","Cardiothoracic Surgery",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0.666666666666667
"10","Q30","5D7","NEWCASTLE PCT","NP300","General Medicine",19,15,9,20,17,11,14,11,10,6,2,4,1,2,1,3,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,148,0.986666666666667
"11","Q30","5D7","NEWCASTLE PCT","NP301","Gastroenterology",0,3,6,5,3,7,4,21,9,10,4,1,3,0,2,2,0,2,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87,87,82,0.942528735632184
"12","Q30","5D7","NEWCASTLE PCT","NP320","Cardiology",6,18,22,3,5,4,16,10,4,4,6,3,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109,108,107,0.990740740740741
"13","Q30","5D7","NEWCASTLE PCT","NP330","Dermatology",118,22,6,6,10,12,23,60,37,11,9,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,324,324,321,0.990740740740741
"14","Q30","5D7","NEWCASTLE PCT","NP340","Thoracic Medicine",24,6,11,8,8,17,8,5,3,4,5,4,2,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,114,114,1
"15","Q30","5D7","NEWCASTLE PCT","NP400","Neurology",9,7,0,4,3,2,5,5,5,18,25,6,12,3,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,111,111,107,0.963963963963964
"16","Q30","5D7","NEWCASTLE PCT","NP410","Rheumatology",39,6,19,18,19,22,19,15,5,7,6,3,1,2,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,189,189,186,0.984126984126984
"17","Q30","5D7","NEWCASTLE PCT","NP430","Geriatric Medicine",7,5,5,8,8,2,7,7,7,12,6,3,4,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,86,1
"18","Q30","5D7","NEWCASTLE PCT","NP502","Gynaecology",12,46,20,21,28,32,17,42,21,11,11,8,8,4,3,2,5,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,297,292,0.983164983164983
"19","Q30","5D7","NEWCASTLE PCT","NP999","Total",1824,343,185,210,281,273,279,304,217,225,222,147,120,55,60,49,30,49,17,13,11,11,8,4,3,4,5,4,3,4,3,1,0,0,0,1,1,0,0,3,0,1,1,0,1,0,0,1,0,0,0,0,6,1,4980,4979,4873,0.97871058445471
"20","Q30","5D7","NEWCASTLE PCT","NPX01","Other",1420,141,37,46,46,53,40,48,34,45,38,38,32,17,6,8,9,11,4,4,3,4,3,2,1,0,2,1,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2104,2104,2069,0.983365019011407
"21","Q30","5D8","NORTH TYNESIDE PCT","NP100","General Surgery",49,46,11,20,13,19,14,18,11,7,7,7,8,3,3,3,2,2,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,252,252,243,0.964285714285714
"22","Q30","5D8","NORTH TYNESIDE PCT","NP101","Urology",4,11,12,7,7,3,17,7,3,5,9,3,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,1
"23","Q30","5D8","NORTH TYNESIDE PCT","NP110","Trauma & Orthopaedics",19,20,12,11,32,19,19,19,9,13,5,9,7,8,10,6,5,7,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,238,230,0.966386554621849
"24","Q30","5D8","NORTH TYNESIDE PCT","NP120","ENT",23,27,17,21,31,24,36,47,38,38,37,16,12,6,3,5,5,2,3,3,3,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,402,388,0.965174129353234
"25","Q30","5D8","NORTH TYNESIDE PCT","NP130","Ophthalmology",69,3,9,21,19,23,15,35,9,16,33,10,5,5,4,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,280,277,0.989285714285714
