"","SHA Code","PCT Code","PCT Name","Treatment Function Code","Treatment Function",">0-1",">1-2",">2-3",">3-4",">4-5",">5-6",">6-7",">7-8",">8-9",">9-10",">10-11",">11-12",">12-13",">13-14",">14-15",">15-16",">16-17",">17-18",">18-19",">19-20",">20-21",">21-22",">22-23",">23-24",">24-25",">25-26",">26-27",">27-28",">28-29",">29-30",">30-31",">31-32",">32-33",">33-34",">34-35",">35-36",">36-37",">37-38",">38-39",">39-40",">40-41",">41-42",">42-43",">43-44",">44-45",">45-46",">46-47",">47-48",">48-49",">49-50",">50-51",">51-52","52 plus","Total number of incomplete pathways","Total within 18 weeks","% within 18 weeks"
"1","Q30","5D7","NEWCASTLE PCT","IP100","General Surgery",38,47,51,35,38,35,44,30,24,21,24,33,31,27,32,20,18,26,29,12,16,12,8,6,9,7,4,7,5,7,2,2,2,1,2,3,1,2,0,0,1,0,0,1,2,0,0,0,0,1,0,0,12,728,574,0.788461538461538
"2","Q30","5D7","NEWCASTLE PCT","IP101","Urology",13,33,38,25,42,28,43,38,19,30,39,42,40,32,27,39,22,28,30,12,12,9,12,7,10,5,2,2,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,703,578,0.822190611664296
"3","Q30","5D7","NEWCASTLE PCT","IP110","Trauma & Orthopaedics",21,32,27,45,40,46,54,34,20,22,20,24,27,38,47,23,29,62,47,41,61,32,23,18,21,18,25,28,13,13,10,11,13,11,8,5,8,5,4,3,0,1,1,5,2,3,0,5,3,2,1,2,75,1129,611,0.54118689105403
"4","Q30","5D7","NEWCASTLE PCT","IP120","ENT",10,11,25,14,15,22,37,36,18,29,28,46,31,49,39,37,31,38,13,17,18,15,23,14,11,8,6,4,3,2,5,4,6,2,0,1,1,2,1,0,0,0,0,2,1,2,0,0,0,1,0,0,15,693,516,0.744588744588745
"5","Q30","5D7","NEWCASTLE PCT","IP130","Ophthalmology",25,17,19,21,23,23,28,22,8,11,35,30,42,26,25,17,9,20,18,19,12,8,12,6,7,6,2,4,3,3,0,4,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,96,610,401,0.657377049180328
"6","Q30","5D7","NEWCASTLE PCT","IP140","Oral Surgery",16,18,17,13,7,21,31,34,5,23,37,34,27,33,30,19,32,18,26,25,16,16,16,13,9,2,9,10,2,5,1,4,2,1,3,2,4,0,3,3,3,1,1,5,4,1,1,1,0,1,1,2,13,621,415,0.668276972624799
"7","Q30","5D7","NEWCASTLE PCT","IP150","Neurosurgery",3,4,6,11,4,3,5,4,0,4,10,10,7,8,9,8,7,6,4,2,2,3,9,1,5,0,6,3,2,2,2,2,0,1,0,2,1,2,0,1,2,0,0,1,0,0,0,2,1,1,0,0,8,174,109,0.626436781609195
"8","Q30","5D7","NEWCASTLE PCT","IP160","Plastic Surgery",9,13,2,15,17,8,16,18,9,13,11,21,18,17,12,18,19,20,7,13,7,8,6,10,10,2,7,9,9,4,4,2,2,1,1,1,3,1,0,3,0,0,0,2,3,0,0,0,0,0,1,0,29,401,256,0.638403990024938
"9","Q30","5D7","NEWCASTLE PCT","IP170","Cardiothoracic Surgery",0,0,0,0,0,2,3,1,0,1,1,1,2,1,4,2,4,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,34,23,0.676470588235294
"10","Q30","5D7","NEWCASTLE PCT","IP300","General Medicine",41,47,25,26,10,28,11,18,11,10,17,14,15,13,8,13,9,12,8,3,8,3,4,2,3,2,3,2,1,1,0,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,381,328,0.860892388451444
"11","Q30","5D7","NEWCASTLE PCT","IP301","Gastroenterology",4,4,9,2,8,7,6,2,1,6,4,5,8,11,8,8,3,4,9,6,2,3,6,1,1,3,6,3,0,1,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,146,100,0.684931506849315
"12","Q30","5D7","NEWCASTLE PCT","IP320","Cardiology",12,19,16,23,13,26,19,14,3,21,16,11,25,11,11,9,6,17,15,8,5,6,13,6,3,1,5,3,4,1,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,7,358,272,0.759776536312849
"13","Q30","5D7","NEWCASTLE PCT","IP330","Dermatology",11,9,10,13,13,19,17,12,9,8,12,14,13,2,19,21,12,10,12,9,10,4,1,4,2,4,1,0,2,3,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,291,224,0.769759450171821
"14","Q30","5D7","NEWCASTLE PCT","IP340","Thoracic Medicine",1,3,1,2,4,4,3,3,3,1,4,6,7,2,5,6,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,58,0.950819672131148
"15","Q30","5D7","NEWCASTLE PCT","IP400","Neurology",1,6,1,3,2,3,1,0,3,4,7,4,3,3,10,7,8,5,4,6,1,0,1,0,3,3,6,1,2,3,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,105,71,0.676190476190476
"16","Q30","5D7","NEWCASTLE PCT","IP410","Rheumatology",5,8,7,6,8,9,11,12,4,7,11,8,13,4,14,9,6,6,4,2,2,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,163,148,0.907975460122699
"17","Q30","5D7","NEWCASTLE PCT","IP430","Geriatric Medicine",11,6,4,4,5,4,0,6,1,3,4,5,8,2,2,1,5,1,0,0,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,72,0.878048780487805
"18","Q30","5D7","NEWCASTLE PCT","IP502","Gynaecology",55,49,48,53,54,58,38,82,16,35,43,39,28,32,42,38,32,53,31,24,11,8,12,4,9,3,4,7,3,5,2,5,1,2,3,0,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,1,46,984,795,0.807926829268293
"19","Q30","5D7","NEWCASTLE PCT","IP999","Total",359,407,384,413,405,427,466,454,190,306,420,442,436,415,419,369,312,382,309,241,233,163,162,122,125,77,105,94,65,60,35,47,40,31,23,24,30,19,13,15,11,6,7,25,16,9,1,10,10,9,3,6,413,9565,7006,0.732462101411396
"20","Q30","5D7","NEWCASTLE PCT","IPX01","Other",83,81,78,102,102,81,99,88,36,57,97,95,91,104,75,74,59,53,48,40,48,34,15,28,17,12,17,10,13,9,5,9,9,5,4,6,8,1,1,2,2,2,4,7,2,3,0,1,4,1,0,1,78,1901,1455,0.765386638611257
