"","SHA Code","PCT Code","PCT Name","Treatment Function Code","Treatment Function",">0-1",">1-2",">2-3",">3-4",">4-5",">5-6",">6-7",">7-8",">8-9",">9-10",">10-11",">11-12",">12-13",">13-14",">14-15",">15-16",">16-17",">17-18",">18-19",">19-20",">20-21",">21-22",">22-23",">23-24",">24-25",">25-26",">26-27",">27-28",">28-29",">29-30",">30-31",">31-32",">32-33",">33-34",">34-35",">35-36",">36-37",">37-38",">38-39",">39-40",">40-41",">41-42",">42-43",">43-44",">44-45",">45-46",">46-47",">47-48",">48-49",">49-50",">50-51",">51-52","52 plus","Patients with unknown clock start date","Total number of completed pathways (all)","Total number of completed pathways (with a known clock start)"
"1","Q30","5D7","NEWCASTLE PCT","NP100","General Surgery",8,9,11,13,9,6,7,10,10,9,8,11,6,2,3,2,2,4,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,134
"2","Q30","5D7","NEWCASTLE PCT","NP101","Urology",4,4,3,4,8,8,2,19,7,9,5,5,4,2,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91
"3","Q30","5D7","NEWCASTLE PCT","NP110","Trauma & Orthopaedics",20,7,18,15,29,17,17,14,13,17,19,10,15,9,9,8,6,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253
"4","Q30","5D7","NEWCASTLE PCT","NP120","ENT",19,20,16,24,14,30,25,47,31,24,46,20,16,6,12,15,15,3,0,2,4,3,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,399
"5","Q30","5D7","NEWCASTLE PCT","NP130","Ophthalmology",67,12,17,19,22,18,19,19,39,27,33,10,5,5,5,7,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,331
"6","Q30","5D7","NEWCASTLE PCT","NP140","Oral Surgery",38,7,7,9,8,4,6,6,15,17,15,10,14,8,6,11,6,6,1,0,0,1,2,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,203,203
"7","Q30","5D7","NEWCASTLE PCT","NP150","Neurosurgery",1,0,1,0,1,0,0,0,0,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
"8","Q30","5D7","NEWCASTLE PCT","NP160","Plastic Surgery",13,3,2,4,3,2,3,14,10,9,4,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,73
"9","Q30","5D7","NEWCASTLE PCT","NP170","Cardiothoracic Surgery",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"10","Q30","5D7","NEWCASTLE PCT","NP300","General Medicine",23,13,13,10,16,7,12,13,12,5,6,6,5,5,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,152
