"","SHA Code","PCT Code","PCT Name","Treatment Function Code","Treatment Function",">0-1",">1-2",">2-3",">3-4",">4-5",">5-6",">6-7",">7-8",">8-9",">9-10",">10-11",">11-12",">12-13",">13-14",">14-15",">15-16",">16-17",">17-18",">18-19",">19-20",">20-21",">21-22",">22-23",">23-24",">24-25",">25-26",">26-27",">27-28",">28-29",">29-30",">30-31",">31-32",">32-33",">33-34",">34-35",">35-36",">36-37",">37-38",">38-39",">39-40",">40-41",">41-42",">42-43",">43-44",">44-45",">45-46",">46-47",">47-48",">48-49",">49-50",">50-51",">51-52","52 plus","Total number of incomplete pathways","Total within 18 weeks","% within 18 weeks"
"1","Q30","5D7","NEWCASTLE PCT","IP100","General Surgery",95,87,75,70,60,87,49,55,33,39,39,37,15,21,20,20,25,30,12,20,24,24,20,10,13,7,7,8,11,6,0,1,1,3,4,2,1,1,1,1,0,1,1,0,1,0,0,1,3,2,0,0,49,1092,857,0.784798534798535
"2","Q30","5D7","NEWCASTLE PCT","IP101","Urology",76,71,60,57,54,42,41,31,42,35,29,30,23,15,32,32,26,31,16,21,28,21,18,9,11,6,13,8,5,4,2,2,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,16,914,727,0.795404814004376
"3","Q30","5D7","NEWCASTLE PCT","IP110","Trauma & Orthopaedics",214,242,154,141,148,150,123,107,74,58,85,91,38,41,39,61,26,39,43,40,34,96,60,38,34,41,34,14,27,12,28,22,17,8,7,9,8,5,7,5,5,5,1,5,0,2,0,3,3,3,0,2,83,2532,1831,0.723143759873618
"4","Q30","5D7","NEWCASTLE PCT","IP120","ENT",172,153,76,111,118,70,70,47,28,51,35,23,24,17,25,18,29,31,31,34,31,63,22,12,13,10,18,9,10,6,5,5,2,3,1,3,5,0,0,0,2,0,0,1,0,2,0,1,3,0,0,0,25,1415,1098,0.775971731448763
"5","Q30","5D7","NEWCASTLE PCT","IP130","Ophthalmology",153,174,147,124,120,95,91,81,75,55,28,23,28,5,16,34,23,21,10,13,10,18,18,11,8,16,18,2,10,3,5,5,3,6,1,2,3,3,0,0,2,0,0,3,0,0,0,0,0,1,0,0,98,1562,1293,0.827784891165173
"6","Q30","5D7","NEWCASTLE PCT","IP140","Oral Surgery",32,35,61,43,44,57,50,67,37,67,37,39,10,19,26,35,24,27,32,17,25,15,18,21,15,11,14,15,6,8,1,11,6,3,5,7,3,1,3,1,5,1,3,0,2,2,2,3,1,3,0,1,25,996,710,0.71285140562249
"7","Q30","5D7","NEWCASTLE PCT","IP150","Neurosurgery",16,25,27,19,16,16,21,14,13,8,7,4,8,4,12,4,12,11,9,8,9,2,12,2,6,2,5,8,6,3,7,7,3,0,4,0,3,2,0,0,0,2,1,3,0,1,0,0,0,0,0,0,17,359,237,0.66016713091922
"8","Q30","5D7","NEWCASTLE PCT","IP160","Plastic Surgery",63,63,43,26,42,36,17,24,23,17,19,17,9,10,14,8,12,5,14,8,34,14,14,10,15,6,7,15,4,6,18,6,5,6,2,5,1,3,1,1,1,2,1,1,5,1,0,0,0,1,1,0,33,689,448,0.65021770682148
"9","Q30","5D7","NEWCASTLE PCT","IP170","Cardiothoracic Surgery",8,3,2,2,1,0,3,3,2,0,4,1,1,0,1,0,2,3,0,1,3,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,36,0.765957446808511
"10","Q30","5D7","NEWCASTLE PCT","IP300","General Medicine",86,67,61,50,35,23,25,20,21,22,11,10,12,2,12,16,19,7,6,7,14,18,6,6,7,6,3,4,1,2,1,2,1,3,2,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,19,612,499,0.815359477124183
"11","Q30","5D7","NEWCASTLE PCT","IP301","Gastroenterology",41,32,21,27,22,31,14,11,13,10,6,8,2,4,8,4,13,9,10,4,6,3,6,3,6,3,3,4,1,3,2,6,2,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,344,276,0.802325581395349
"12","Q30","5D7","NEWCASTLE PCT","IP320","Cardiology",49,49,52,46,56,40,37,20,32,18,33,21,7,7,25,19,17,22,7,4,16,19,24,17,7,10,13,10,7,2,2,3,4,9,1,1,0,0,0,0,1,1,1,0,3,0,1,0,0,0,0,0,20,733,550,0.750341064120055
"13","Q30","5D7","NEWCASTLE PCT","IP330","Dermatology",127,95,92,106,80,66,27,36,13,12,13,9,8,4,15,11,16,7,11,19,44,37,11,18,4,5,1,2,2,4,2,1,3,2,2,0,1,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,9,923,737,0.798483206933911
"14","Q30","5D7","NEWCASTLE PCT","IP340","Thoracic Medicine",51,21,42,14,15,11,7,7,21,21,5,4,4,4,3,4,3,4,3,5,4,11,3,2,2,1,1,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,283,241,0.851590106007067
"15","Q30","5D7","NEWCASTLE PCT","IP400","Neurology",28,48,47,30,74,33,21,24,28,21,17,9,3,2,7,9,8,7,9,6,20,11,14,15,1,2,3,5,3,11,4,10,2,1,3,2,5,5,2,1,0,1,1,4,1,0,1,1,1,0,2,0,4,567,416,0.7336860670194
"16","Q30","5D7","NEWCASTLE PCT","IP410","Rheumatology",112,68,52,37,55,32,19,9,17,27,19,16,13,9,24,11,10,7,2,13,8,17,8,4,2,2,1,1,1,0,0,0,3,1,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,6,612,537,0.877450980392157
"17","Q30","5D7","NEWCASTLE PCT","IP430","Geriatric Medicine",36,25,21,27,21,13,22,7,12,10,3,0,4,0,0,4,1,5,1,1,1,5,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,225,211,0.937777777777778
"18","Q30","5D7","NEWCASTLE PCT","IP502","Gynaecology",160,146,123,107,100,78,63,72,57,40,50,35,17,9,19,24,18,13,20,23,40,64,12,17,6,4,8,4,3,4,2,2,5,4,2,6,0,1,4,0,1,1,4,1,1,1,1,0,0,1,0,0,50,1423,1131,0.794799718903725
"19","Q30","5D7","NEWCASTLE PCT","IPX01","Other",283,310,334,222,249,195,188,149,189,105,119,96,59,42,104,87,71,90,71,88,86,79,61,54,45,30,13,25,23,16,6,19,16,6,9,8,7,3,5,8,3,5,5,3,4,3,3,4,3,5,2,4,141,3755,2892,0.77017310252996
"20","Q30","5D7","NEWCASTLE PCT","IP999","Total",1802,1714,1490,1259,1310,1075,888,784,730,616,559,473,285,215,402,401,355,369,307,332,437,520,329,250,195,162,162,135,122,94,86,102,75,58,43,46,40,28,24,20,21,22,27,22,17,14,9,16,14,16,5,7,599,19083,14727,0.771734004087408
"21","Q30","5D8","NORTH TYNESIDE PCT","IP100","General Surgery",137,95,87,69,88,77,53,72,50,42,38,13,25,9,16,19,16,12,8,8,9,18,4,6,9,5,7,4,3,1,2,0,1,2,2,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,1022,918,0.898238747553816
"22","Q30","5D8","NORTH TYNESIDE PCT","IP101","Urology",84,62,41,50,52,34,25,38,48,29,24,27,24,10,21,21,14,15,6,12,7,10,6,5,4,3,5,2,6,1,0,5,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,702,619,0.881766381766382
"23","Q30","5D8","NORTH TYNESIDE PCT","IP110","Trauma & Orthopaedics",239,198,137,155,136,125,101,96,75,72,80,63,41,31,42,38,25,21,19,23,32,20,24,16,15,16,8,6,18,4,4,13,9,2,2,3,5,2,1,1,3,0,1,0,1,2,0,0,3,2,0,0,28,1958,1675,0.855464759959142
"24","Q30","5D8","NORTH TYNESIDE PCT","IP120","ENT",118,116,70,95,113,50,62,50,43,38,24,18,16,8,15,12,22,22,19,23,19,53,15,13,8,5,7,10,7,6,1,2,1,4,0,1,0,2,2,1,0,0,0,4,0,0,0,0,0,0,0,0,12,1107,892,0.805781391147245
"25","Q30","5D8","NORTH TYNESIDE PCT","IP130","Ophthalmology",132,120,118,113,104,95,83,54,63,65,33,30,26,9,21,16,37,16,9,13,13,11,11,5,12,14,13,7,4,6,2,1,0,2,1,2,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,74,1341,1135,0.846383296047726
"26","Q30","5D8","NORTH TYNESIDE PCT","IP140","Oral Surgery",29,19,24,41,29,44,30,50,22,33,28,22,5,14,26,20,25,21,14,25,16,19,13,23,8,13,11,5,1,5,6,7,4,2,2,0,1,2,5,1,1,2,2,2,1,1,2,0,0,0,0,2,12,690,482,0.698550724637681
"27","Q30","5D8","NORTH TYNESIDE PCT","IP150","Neurosurgery",6,28,11,11,13,10,6,11,8,10,11,7,5,6,7,3,3,3,8,15,12,5,4,8,8,5,6,7,7,5,5,6,1,0,3,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,11,280,159,0.567857142857143
"28","Q30","5D8","NORTH TYNESIDE PCT","IP160","Plastic Surgery",25,31,31,21,20,13,10,11,13,4,12,8,4,3,9,2,9,5,6,12,11,8,8,8,3,4,5,6,0,4,2,5,1,1,1,1,2,2,1,2,0,0,0,0,0,1,2,0,1,1,0,0,15,344,231,0.671511627906977
"29","Q30","5D8","NORTH TYNESIDE PCT","IP170","Cardiothoracic Surgery",1,9,3,2,0,0,2,0,2,2,0,0,1,1,2,1,2,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,0.823529411764706
"30","Q30","5D8","NORTH TYNESIDE PCT","IP300","General Medicine",156,104,129,114,85,60,54,62,46,45,46,33,25,12,14,9,4,4,4,2,4,7,5,2,0,3,2,2,4,3,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,7,1052,1002,0.952471482889734
"31","Q30","5D8","NORTH TYNESIDE PCT","IP301","Gastroenterology",8,4,5,6,4,4,5,3,1,2,1,3,2,1,2,2,0,2,0,4,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69,55,0.797101449275362
"32","Q30","5D8","NORTH TYNESIDE PCT","IP320","Cardiology",18,23,7,10,18,24,14,6,15,13,10,9,5,3,5,7,11,4,6,1,4,1,5,7,1,4,3,1,0,2,0,0,0,2,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,249,202,0.811244979919679
"33","Q30","5D8","NORTH TYNESIDE PCT","IP330","Dermatology",81,70,71,54,49,44,35,13,10,15,7,15,3,4,13,12,12,8,10,9,44,27,17,8,5,5,6,8,1,3,0,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,4,674,516,0.765578635014837
"34","Q30","5D8","NORTH TYNESIDE PCT","IP340","Thoracic Medicine",4,6,6,7,3,2,8,6,4,11,1,1,0,0,1,1,2,0,2,2,4,3,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,63,0.777777777777778
"35","Q30","5D8","NORTH TYNESIDE PCT","IP400","Neurology",23,27,28,16,33,37,26,24,21,9,5,8,4,2,3,8,3,0,3,5,11,6,11,4,2,4,0,2,0,4,4,1,3,1,1,0,1,1,1,1,2,0,0,1,1,0,1,0,1,0,0,1,3,353,277,0.784702549575071
"36","Q30","5D8","NORTH TYNESIDE PCT","IP410","Rheumatology",48,47,25,15,30,21,14,4,9,20,10,12,1,4,11,5,4,6,3,3,3,2,1,2,2,0,3,3,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,316,286,0.905063291139241
"37","Q30","5D8","NORTH TYNESIDE PCT","IP430","Geriatric Medicine",25,27,28,18,24,11,4,10,6,6,6,8,1,6,10,3,1,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,195,0.975
"38","Q30","5D8","NORTH TYNESIDE PCT","IP502","Gynaecology",147,94,94,86,72,65,48,38,31,32,24,8,13,6,7,6,5,7,8,9,13,14,5,6,5,3,1,4,1,1,1,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,883,783,0.886749716874292
"39","Q30","5D8","NORTH TYNESIDE PCT","IPX01","Other",195,207,198,153,165,139,120,135,102,78,60,55,26,28,44,46,48,44,43,37,38,57,33,33,30,21,26,15,22,12,6,8,9,7,7,4,6,4,3,4,2,2,4,2,3,2,2,1,2,3,1,1,75,2368,1843,0.778293918918919
"40","Q30","5D8","NORTH TYNESIDE PCT","IP999","Total",1476,1287,1113,1036,1038,855,700,683,569,526,420,340,227,157,269,231,243,191,170,204,242,265,168,147,114,105,104,82,78,58,34,55,31,27,22,15,19,21,17,13,9,5,11,11,9,7,10,2,9,6,2,5,285,13723,11361,0.827880201122204
"41","Q30","5D9","HARTLEPOOL PCT","IP100","General Surgery",82,84,74,50,58,34,32,22,20,19,14,16,9,5,8,15,11,11,7,5,2,2,3,1,1,2,3,2,1,2,1,2,1,1,1,2,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2,610,564,0.924590163934426
