"","SHA Code","PCT Code","PCT Name","Treatment Function Code","Treatment Function",">0-1",">1-2",">2-3",">3-4",">4-5",">5-6",">6-7",">7-8",">8-9",">9-10",">10-11",">11-12",">12-13",">13-14",">14-15",">15-16",">16-17",">17-18",">18-19",">19-20",">20-21",">21-22",">22-23",">23-24",">24-25",">25-26",">26-27",">27-28",">28-29",">29-30",">30-31",">31-32",">32-33",">33-34",">34-35",">35-36",">36-37",">37-38",">38-39",">39-40",">40-41",">41-42",">42-43",">43-44",">44-45",">45-46",">46-47",">47-48",">48-49",">49-50",">50-51",">51-52","52 plus","Patients with unknown clock start date","Total number of completed pathways (all)","Total number of completed pathways (with a known clock start)","Total (with a known clock start) within 18 weeks","% within 18 weeks"
"1","Q30","5D7","NEWCASTLE PCT","AP100","General Surgery",25,23,14,13,10,11,8,5,3,6,4,2,4,2,3,4,3,1,2,0,1,1,0,1,1,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,154,154,141,0.915584415584416
"2","Q30","5D7","NEWCASTLE PCT","AP101","Urology",6,6,30,10,7,5,5,4,8,1,3,2,1,2,2,1,4,9,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112,106,0.946428571428571
"3","Q30","5D7","NEWCASTLE PCT","AP110","Trauma & Orthopaedics",15,13,15,9,8,12,8,7,7,11,6,8,9,3,8,6,13,12,1,4,7,6,4,3,2,2,2,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,208,208,170,0.817307692307692
"4","Q30","5D7","NEWCASTLE PCT","AP120","ENT",4,3,6,9,3,4,8,9,15,2,3,1,5,5,6,6,5,3,1,2,3,1,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,113,113,97,0.858407079646018
"5","Q30","5D7","NEWCASTLE PCT","AP130","Ophthalmology",8,4,9,8,7,10,16,14,14,9,5,14,9,14,13,15,4,2,1,2,1,1,2,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,187,175,0.935828877005348
"6","Q30","5D7","NEWCASTLE PCT","AP140","Oral Surgery",13,7,1,1,1,2,2,7,1,2,5,1,1,1,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,56,56,50,0.892857142857143
"7","Q30","5D7","NEWCASTLE PCT","AP150","Neurosurgery",2,2,0,4,1,0,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,1
"8","Q30","5D7","NEWCASTLE PCT","AP160","Plastic Surgery",4,4,3,5,3,3,4,2,2,2,5,2,3,5,3,4,7,4,5,1,1,2,1,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0,87,87,65,0.747126436781609
"9","Q30","5D7","NEWCASTLE PCT","AP170","Cardiothoracic Surgery",1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,0.9
"10","Q30","5D7","NEWCASTLE PCT","AP300","General Medicine",2,1,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,11,0.916666666666667
