"","SHA Code","PCT Code","PCT Name","Treatment Function Code","Treatment Function",">0-1",">1-2",">2-3",">3-4",">4-5",">5-6",">6-7",">7-8",">8-9",">9-10",">10-11",">11-12",">12-13",">13-14",">14-15",">15-16",">16-17",">17-18",">18-19",">19-20",">20-21",">21-22",">22-23",">23-24",">24-25",">25-26",">26-27",">27-28",">28-29",">29-30",">30-31",">31-32",">32-33",">33-34",">34-35",">35-36",">36-37",">37-38",">38-39",">39-40",">40-41",">41-42",">42-43",">43-44",">44-45",">45-46",">46-47",">47-48",">48-49",">49-50",">50-51",">51-52","52 plus","Patients with unknown clock start date","Total number of completed pathways (all)","Total number of completed pathways (with a known clock start)"
"1","Q30","5D7","NEWCASTLE PCT","AP100","General Surgery",12,16,17,7,7,3,5,8,9,3,3,4,2,2,1,1,6,1,1,1,0,1,2,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118
"2","Q30","5D7","NEWCASTLE PCT","AP101","Urology",0,5,1,3,6,5,7,2,1,1,1,1,5,2,3,4,3,5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61
"3","Q30","5D7","NEWCASTLE PCT","AP110","Trauma & Orthopaedics",14,7,8,8,7,13,12,11,8,10,7,7,5,11,7,5,8,6,0,1,3,2,2,2,2,3,1,1,1,0,1,1,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,182,182
"4","Q30","5D7","NEWCASTLE PCT","AP120","ENT",5,5,7,5,8,6,7,1,4,6,4,3,6,5,2,1,0,6,0,2,2,0,0,1,0,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92
"5","Q30","5D7","NEWCASTLE PCT","AP130","Ophthalmology",9,7,9,5,3,9,4,10,4,12,10,19,13,12,12,3,6,2,1,4,0,1,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,162
"6","Q30","5D7","NEWCASTLE PCT","AP140","Oral Surgery",3,1,1,2,3,0,0,3,0,1,3,2,1,2,2,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30
"7","Q30","5D7","NEWCASTLE PCT","AP150","Neurosurgery",0,2,1,2,0,1,0,3,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
"8","Q30","5D7","NEWCASTLE PCT","AP160","Plastic Surgery",4,2,1,2,1,3,3,4,1,2,1,6,3,2,1,3,8,6,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60
"9","Q30","5D7","NEWCASTLE PCT","AP170","Cardiothoracic Surgery",0,0,2,0,1,2,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
"10","Q30","5D7","NEWCASTLE PCT","AP300","General Medicine",0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"11","Q30","5D7","NEWCASTLE PCT","AP301","Gastroenterology",8,12,7,5,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41
"12","Q30","5D7","NEWCASTLE PCT","AP320","Cardiology",0,1,3,6,5,5,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
"13","Q30","5D7","NEWCASTLE PCT","AP330","Dermatology",1,2,5,4,2,2,3,3,6,2,4,5,4,0,3,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53
"14","Q30","5D7","NEWCASTLE PCT","AP340","Thoracic Medicine",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"15","Q30","5D7","NEWCASTLE PCT","AP400","Neurology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Q30","5D7","NEWCASTLE PCT","AP410","Rheumatology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Q30","5D7","NEWCASTLE PCT","AP430","Geriatric Medicine",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"18","Q30","5D7","NEWCASTLE PCT","AP502","Gynaecology",12,25,42,10,5,8,6,5,6,4,3,5,3,4,2,5,3,3,0,0,0,0,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,160,160
"19","Q30","5D7","NEWCASTLE PCT","AP999","Total",94,94,114,70,59,65,58,54,41,46,47,60,57,48,41,29,42,50,8,12,7,6,9,5,6,10,6,2,6,0,4,5,3,3,4,1,3,4,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1179,1179
"20","Q30","5D7","NEWCASTLE PCT","APX01","Other",26,8,9,7,4,6,9,4,2,3,10,7,13,7,6,4,5,10,2,1,2,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,158,158
"21","Q30","5D8","NORTH TYNESIDE PCT","AP100","General Surgery",26,28,19,13,8,13,8,7,6,9,5,5,3,6,2,3,5,1,1,1,2,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,180,180
"22","Q30","5D8","NORTH TYNESIDE PCT","AP101","Urology",3,5,3,5,6,5,2,1,2,3,1,4,5,2,1,1,2,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57
"23","Q30","5D8","NORTH TYNESIDE PCT","AP110","Trauma & Orthopaedics",11,16,12,7,11,6,12,16,15,27,13,21,14,17,11,12,11,4,4,0,1,2,2,1,0,0,1,3,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,256,256
"24","Q30","5D8","NORTH TYNESIDE PCT","AP120","ENT",3,3,3,3,6,6,3,4,2,3,8,4,4,11,3,6,3,0,1,0,0,2,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83
"25","Q30","5D8","NORTH TYNESIDE PCT","AP130","Ophthalmology",6,3,4,3,4,6,4,8,3,14,7,12,10,11,8,7,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,119
"26","Q30","5D8","NORTH TYNESIDE PCT","AP140","Oral Surgery",4,2,3,2,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
"27","Q30","5D8","NORTH TYNESIDE PCT","AP150","Neurosurgery",4,2,0,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
"28","Q30","5D8","NORTH TYNESIDE PCT","AP160","Plastic Surgery",1,1,1,3,0,4,3,3,0,3,2,1,5,0,0,3,5,3,0,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47
"29","Q30","5D8","NORTH TYNESIDE PCT","AP170","Cardiothoracic Surgery",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"30","Q30","5D8","NORTH TYNESIDE PCT","AP300","General Medicine",20,12,16,7,4,6,0,3,3,2,0,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81
"31","Q30","5D8","NORTH TYNESIDE PCT","AP301","Gastroenterology",9,11,14,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42
"32","Q30","5D8","NORTH TYNESIDE PCT","AP320","Cardiology",0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"33","Q30","5D8","NORTH TYNESIDE PCT","AP330","Dermatology",3,1,4,6,2,1,0,7,6,3,5,4,3,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53
"34","Q30","5D8","NORTH TYNESIDE PCT","AP340","Thoracic Medicine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Q30","5D8","NORTH TYNESIDE PCT","AP400","Neurology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
