"","SHA Code","PCT Code","PCT Name","Treatment Function Code","Treatment Function",">0-1",">1-2",">2-3",">3-4",">4-5",">5-6",">6-7",">7-8",">8-9",">9-10",">10-11",">11-12",">12-13",">13-14",">14-15",">15-16",">16-17",">17-18",">18-19",">19-20",">20-21",">21-22",">22-23",">23-24",">24-25",">25-26",">26-27",">27-28",">28-29",">29-30",">30-31",">31-32",">32-33",">33-34",">34-35",">35-36",">36-37",">37-38",">38-39",">39-40",">40-41",">41-42",">42-43",">43-44",">44-45",">45-46",">46-47",">47-48",">48-49",">49-50",">50-51",">51-52","52 plus","Total number of incomplete pathways","Total within 18 weeks","% within 18 weeks"
"1","Q30","5D7","NEWCASTLE PCT","IP100","General Surgery",44,43,50,39,34,40,51,30,38,45,47,36,34,18,17,19,15,5,8,3,3,8,4,3,2,3,2,6,3,0,0,1,1,0,2,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,9,671,605,0.901639344262295
"2","Q30","5D7","NEWCASTLE PCT","IP101","Urology",5,29,32,40,36,40,48,41,31,42,47,24,25,20,18,12,11,8,4,5,1,2,2,3,0,2,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,545,509,0.93394495412844
"3","Q30","5D7","NEWCASTLE PCT","IP110","Trauma & Orthopaedics",25,44,47,70,42,64,39,65,62,83,86,67,84,47,57,39,38,36,32,36,19,18,17,15,24,8,13,15,17,9,8,5,6,3,4,9,3,1,2,4,1,2,3,1,6,0,3,1,1,4,2,0,40,1327,995,0.749811605124341
"4","Q30","5D7","NEWCASTLE PCT","IP120","ENT",12,30,31,41,31,50,43,54,33,46,57,50,47,33,26,21,14,7,6,4,5,3,8,6,5,2,2,3,2,2,0,0,2,1,3,1,3,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,12,702,626,0.891737891737892
"5","Q30","5D7","NEWCASTLE PCT","IP130","Ophthalmology",2,11,9,8,23,5,13,27,13,24,26,15,23,17,33,30,17,9,9,5,5,5,1,4,3,3,1,1,3,0,4,1,1,1,0,1,1,2,1,1,0,0,1,1,0,0,1,0,0,1,0,0,60,422,305,0.722748815165877
"6","Q30","5D7","NEWCASTLE PCT","IP140","Oral Surgery",4,6,9,6,14,17,15,23,31,30,37,22,25,18,19,23,12,4,15,13,3,7,4,6,3,3,5,3,1,0,3,1,0,0,1,1,1,1,2,0,1,0,0,1,0,2,2,0,1,0,0,0,9,404,315,0.77970297029703
"7","Q30","5D7","NEWCASTLE PCT","IP150","Neurosurgery",0,3,1,4,4,3,10,6,3,6,2,4,5,4,10,5,4,5,8,1,2,4,0,2,1,1,2,2,2,1,0,2,2,1,0,1,1,0,0,1,2,0,0,1,0,0,0,0,0,1,2,1,7,127,79,0.622047244094488
"8","Q30","5D7","NEWCASTLE PCT","IP160","Plastic Surgery",4,6,4,8,5,10,9,15,10,12,5,13,12,9,12,13,12,3,8,11,12,14,5,0,7,4,4,3,5,3,1,2,2,1,0,3,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,1,25,280,162,0.578571428571429
"9","Q30","5D7","NEWCASTLE PCT","IP170","Cardiothoracic Surgery",0,1,1,0,1,1,3,2,1,1,5,2,0,0,0,2,1,0,1,2,1,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,21,0.67741935483871
"10","Q30","5D7","NEWCASTLE PCT","IP300","General Medicine",18,34,57,35,36,25,17,17,12,23,17,18,12,10,4,10,10,4,6,4,3,1,0,2,0,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,393,359,0.913486005089059
